lipid_id,lipid_type,leaflet,bead_type,x,y,z,order_param,in_raft,is_pip,phase
0,CHOL,sup,HEAD,313.655,293.317,20.892,0.9,0,0,gel
0,CHOL,sup,TAIL1_0,312.69,291.207,20.882,0.9,0,0,gel
0,CHOL,sup,TAIL1_1,315.705,293.57,19.586,0.9,0,0,gel
0,CHOL,sup,TAIL1_2,312.01,294.934,18.157,0.9,0,0,gel
0,CHOL,sup,TAIL1_3,311.953,291.299,16.325,0.9,0,0,gel
0,CHOL,sup,TAIL1_4,315.469,292.434,15.1,0.9,0,0,gel
0,CHOL,sup,TAIL1_5,313.108,295.367,13.982,0.9,0,0,gel
0,CHOL,sup,TAIL1_6,311.775,292.117,12.647,0.9,0,0,gel
0,CHOL,sup,TAIL1_7,314.216,292.389,10.836,0.9,0,0,gel
0,CHOL,sup,TAIL1_8,313.662,294.403,9.886,0.9,0,0,gel
0,CHOL,sup,TAIL1_9,312.52,293.13,8.04,0.9,0,0,gel
0,CHOL,sup,TAIL1_10,313.604,292.59,6.955,0.9,0,0,gel
0,CHOL,sup,TAIL1_11,313.887,294.111,5.342,0.9,0,0,gel
1,CHOL,sup,HEAD,459.887,206.797,17.831,0.9,0,0,gel
1,CHOL,sup,TAIL1_0,462.024,207.029,17.747,0.9,0,0,gel
1,CHOL,sup,TAIL1_1,459.055,208.781,16.463,0.9,0,0,gel
1,CHOL,sup,TAIL1_2,458.777,205.543,15.098,0.9,0,0,gel
1,CHOL,sup,TAIL1_3,461.74,206.545,13.45,0.9,0,0,gel
1,CHOL,sup,TAIL1_4,459.637,209.237,12.129,0.9,0,0,gel
1,CHOL,sup,TAIL1_5,457.808,206.315,10.66,0.9,0,0,gel
1,CHOL,sup,TAIL1_6,461.535,205.858,9.115,0.9,0,0,gel
1,CHOL,sup,TAIL1_7,460.328,208.172,7.848,0.9,0,0,gel
1,CHOL,sup,TAIL1_8,458.708,206.782,6.494,0.9,0,0,gel
1,CHOL,sup,TAIL1_9,460.566,206.237,5.007,0.9,0,0,gel
1,CHOL,sup,TAIL1_10,460.459,207.89,3.573,0.9,0,0,gel
