type,label,leaflet,in_raft,is_pip,phase,x,y,z,q1,q2,q3,q4
lipid_HEAD,POPC,sup,0,0,fluid,119.589,295.836,22.606,0.011938,0.913147,-0.407455,0.0
lipid_HEAD,POPC,sup,0,0,fluid,335.493,458.035,25.281,0.026353,0.925675,0.377401,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,499.571,493.128,19.328,0.046949,-0.990973,-0.125569,0.0
lipid_HEAD,POPC,sup,0,0,fluid,329.933,493.691,25.826,0.061184,0.89128,0.449307,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,303.781,122.132,22.075,0.035469,0.554166,0.83165,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,250.167,303.271,22.482,0.031295,-0.721621,0.69158,0.0
lipid_HEAD,POPC,sup,0,0,fluid,308.18,492.623,23.587,0.034022,-0.806835,-0.589797,0.0
lipid_HEAD,POPC,sup,0,0,fluid,306.458,265.321,19.33,0.043393,0.999032,-0.007272,0.0
lipid_HEAD,POPC,sup,0,0,fluid,461.515,98.557,14.241,0.042263,-0.150046,-0.987775,0.0
lipid_HEAD,POPC,sup,0,0,fluid,17.786,287.125,22.977,0.038243,0.506207,0.861563,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,354.554,380.623,26.623,0.034422,-0.72239,-0.690628,0.0
lipid_HEAD,POPC,sup,0,0,fluid,413.972,252.561,22.069,0.056126,-0.50002,0.864193,0.0
lipid_HEAD,POPC,sup,0,0,fluid,95.019,0.084,24.194,0.021647,-0.109615,0.993738,0.0
lipid_HEAD,POPC,sup,0,0,fluid,434.396,352.426,22.388,0.035353,-0.546315,-0.836833,0.0
lipid_HEAD,POPC,sup,0,0,fluid,126.53,394.282,19.568,0.039787,-0.712599,0.700442,0.0
lipid_HEAD,POPC,sup,0,0,fluid,307.312,18.495,22.146,0.033318,-0.718533,0.694694,0.0
lipid_HEAD,POPC,sup,0,0,fluid,433.618,17.001,17.639,0.007919,-0.870213,0.492613,0.0
lipid_HEAD,POPC,sup,0,0,fluid,172.135,184.677,19.05,0.057041,-0.210093,0.976016,0.0
